Community Area Name,Community Area Number,Property Type,Property Name,Address,Zip Code,Phone Number,Management Company,Units,X Coordinate,Y Coordinate,Latitude,Longitude,Location
Austin,25,Multifamily,Rebecca Walker Complex,223-9 S. Central Ave.,60644,773-261-1550,Affordable Property Management Specialist,12,1139130.0755862487,1898499.8733970954,41.8775981392,-87.7646186402,"223-9 S. Central Ave.
(41.8775981392, -87.7646186402)"
Austin,25,Multifamily,Rebecca Walker Complex,5565-71 W. Quincy Ave.,60644,773-261-1550,Affordable Property Management Specialist,12,1139234.679867539,1898405.584397663,41.8773374951,-87.7642368505,"5565-71 W. Quincy Ave.
(41.8773374951, -87.7642368505)"
Austin,25,Multifamily,Congress Commons LLC,504 S. Laramie Ave.,60644,773-287-1592,Congress Commons LLC,161,1141766.8175998074,1897120.6862710943,41.873765121,-87.7549712034,"504 S. Laramie Ave.
(41.873765121, -87.7549712034)"
Austin,25,Senior HUD 202,Enola A. Dew Senior Apartments,4623 W. Gladys Ave.,60644,773-287-2972,"Prairie Management & Development, Inc.",60,1145481.1114175122,1897910.062111502,41.8758617765,-87.7413139552,"4623 W. Gladys Ave.
(41.8758617765, -87.7413139552)"
Austin,25,Senior HUD 202,Elois McCoy Village Apartments,4650 W. Van Buren St.,60644,773-626-5320,"Prairie Management & Development, Inc.",60,1145250.3076783537,1897655.194765888,41.875166755,-87.7421678378,"4650 W. Van Buren St.
(41.875166755, -87.7421678378)"
Austin,25,Supportive/Teenage Moms,Home for New Moms,5327 W. Chicago Ave.,60651,773-610-7696,"New Moms, Inc.",40,,,,,
Avalon Park,45,Senior,Montclare Senior Residences of Avalon Park,1200 E. 78th St.,60619,773-933-9000,Montclare Senior Residences,102,1185587.7421578558,1853564.4589579385,41.7533208609,-87.5954564009,"1200 E. 78th St.
(41.7533208609, -87.5954564009)"
Belmont Cragin,19,ARO,TBD,2917-39 N. Central Ave.,60634,708-867-3799,Zitella Development ,3,,,,,
Belmont Cragin,19,Senior,Senior Suites of Belmont-Cragin,6045 W. Grand Ave.,60639,773-237-1333,Senior Lifestyle Corp.,86,1135526.173557574,1914216.3828398387,41.9207910105,-87.7774775508,"6045 W. Grand Ave.
(41.9207910105, -87.7774775508)"
Belmont Cragin,19,Senior,Senior Suites of Kelvyn Park,2715 N. Cicero Ave.,60639,773-252-0333,Senior Lifestyle Corp.,85,1143963.794996609,1917674.6468974263,41.9301265688,-87.7463885389,"2715 N. Cicero Ave.
(41.9301265688, -87.7463885389)"
Belmont Cragin,19,Senior,Crystal Courts/Anixter Center,5038 W. Armitage Ave.,60639,773-385-9080,Lester and Rosalie Anixter Center,17,1142340.781111415,1912865.6593521584,41.916960542,-87.7524724894,"5038 W. Armitage Ave.
(41.916960542, -87.7524724894)"
Bridgeport,60,Senior,Senior Suites of Bridgeport,2825 S. Halsted St.,60608,312-326-0333,Senior Lifestyle Corp.,85,1171468.4089095024,1886029.5277608237,41.8427291512,-87.6462472701,"2825 S. Halsted St.
(41.8427291512, -87.6462472701)"
Chatham,44,Supportive Housing,Karibuni Place,8200 S. Ellis Ave.,60619,773-873-0708,Heartland Housing,72,1184284.1534667031,1850796.8943722805,41.7457569581,-87.6003199107,"8200 S. Ellis Ave.
(41.7457569581, -87.6003199107)"
Chatham,44,Senior,Senior Suites of Chatham,8300 S. Cottage Grove Ave.,60619,773-488-1333,Senior Lifestyle Corp.,90,1182964.715820796,1850099.4442601332,41.743873821,-87.6051761606,"8300 S. Cottage Grove Ave.
(41.743873821, -87.6051761606)"
Chicago Lawn,66,Senior,Lawn Terrace Independent  Living Apartments,3214 W. 63rd Place,60629,773-925-0815,Greater Southwest Dev. Corp.,102,1155938.0920476676,1862375.0314674582,41.7781448626,-87.7038754099,"3214 W. 63rd Place
(41.7781448626, -87.7038754099)"
Chicago Lawn,66,Senior,Senior Suites of Marquette Village,7430 S. Rockwell St.,60629,773-432-8420,Senior Lifestyle Corp.,93,1160293.921943526,1855122.4462694346,41.7581541131,-87.6881061075,"7430 S. Rockwell St.
(41.7581541131, -87.6881061075)"
Chicago Lawn,66,Senior,Churchview Manor Independent Living,2626 W. 63rd St.,60629,773-925-0730,Greater Southwest Dev. Corp.,60,1159807.027511733,1862817.6897337392,41.7792809902,-87.6896794864,"2626 W. 63rd St.
(41.7792809902, -87.6896794864)"
Chicago Lawn,66,Senior,Churchview Supportive Assisted Living,2626 W. 63rd St.,60629,773-471-4444,Greater Southwest Dev. Corp.,86,1159807.027511733,1862817.6897337392,41.7792809902,-87.6896794864,"2626 W. 63rd St.
(41.7792809902, -87.6896794864)"
Douglas,35,Multifamily,Park Boulevard IA,3845 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",80,1176967.1197216897,1879322.1676457142,41.8242011421,-87.6262712265,"3845 S. State St.
(41.8242011421, -87.6262712265)"
Douglas,35,Multifamily,Park Boulevard IIA,17 W. 36th St.,60609,773-548-8792,"Urban Property Advisors, LLC",36,1176708.7667284424,1881091.478702779,41.8290621083,-87.6271656778,"17 W. 36th St.
(41.8290621083, -87.6271656778)"
Douglas,35,Multifamily,Park Boulevard IIA,3604 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",6,1176845.9146180158,1881076.3818232405,41.8290175865,-87.6266629487,"3604 S. State St.
(41.8290175865, -87.6266629487)"
Douglas,35,Multifamily,Park Boulevard IIA,3612 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",6,1176848.8921292,1880973.883357372,41.8287362552,-87.6266551179,"3612 S. State St.
(41.8287362552, -87.6266551179)"
Douglas,35,Multifamily,Park Boulevard IIA,3640 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",80,1176856.6105213976,1880678.421982759,41.8279253109,-87.6266357171,"3640 S. State St.
(41.8279253109, -87.6266357171)"
Douglas,35,Multifamily,Park Boulevard IB,3506 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",54,1176805.9513533777,1881719.1078143609,41.8307821806,-87.6267901762,"3506 S. State St.
(41.8307821806, -87.6267901762)"
Douglas,35,Multifamily,Park Boulevard IIB,3633 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",12,,,,,
Douglas ,35,Multifamily,Park Boulevard IIB,10 W. 37th St.,60609,773-548-8792,"Urban Property Advisors, LLC",12,,,,,
Douglas ,35,Mutifamily,Park Boulevard IIB,15 W. 37th St.,60609,773-548-8792,"Urban Property Advisors, LLC",12,,,,,
Douglas,35,Multifamily,Park Boulevard IIB,3700 S. Dearborn St.,60609,773-548-8792,"Urban Property Advisors, LLC",72,,,,,
Douglas,35,Multifamily,South Park Plaza,2600 S. King Dr.,60616,312-674-9210,Woodlawn Comm. Dev. Corp.,134,1179206.472330668,1887158.1958682442,41.8456529118,-87.617816391,"2600 S. King Dr.
(41.8456529118, -87.617816391)"
Douglas,35,Senior,Pioneer Gardens Supportive Living,3800 S. King Dr.,60653,773-420-4100,Pioneer Gardens Senior Housing,120,1179441.3581913854,1879836.3986584914,41.8255559976,-87.6171784181,"3800 S. King Dr.
(41.8255559976, -87.6171784181)"
Douglas,35,Senior,Pioneer Village Apartments,340 E. 38th St.,60653,773-536-0463,Pioneer Affordable Housing Preservation,152,1179348.3600891535,1879907.4959198073,41.8257532207,-87.6175174282,"340 E. 38th St.
(41.8257532207, -87.6175174282)"
Dunning,17,Senior,Autumn Green at Wright Campus,4239 N. Oak Park Ave.,60634,773-202-3388,Senior Lifestyle Corp.,129,,,,,
East Garfield Park,27,Multifamily,Ike Sims Village,3333 W. Maypole Ave.,60624,773-638-1818,Village Green Management Co.,200,1129981.0183291987,1927628.4836435749,41.9576922115,-87.7975440334,"3333 W. Maypole Ave.
(41.9576922115, -87.7975440334)"
East Garfield Park,27,Multifamily/Artists,Switching Station Lofts ,15 S. Homan Ave.,60624,312-859-0577,Holsten Management Corp.,24,1153978.228846477,1900741.035115148,41.8834651917,-87.7100399091,"15 S. Homan Ave.
(41.8834651917, -87.7100399091)"
East Garfield Park,27,Senior,Heritage Woods of Chicago,2800 W. Fulton St.,60612,773-722-2900,BMA Management Ltd.,113,1153767.678032582,1899627.5293921034,41.8804138115,-87.7108427298,"2800 W. Fulton St.
(41.8804138115, -87.7108427298)"
East Garfield Park,27,Multifamily,Homan Square Apartments Phase I,750 S. Homan Ave.,60624,773-722-7320,Realty & Mortgage Co.,50,1157527.9754137222,1898606.336367213,41.8775358858,-87.6970630483,"750 S. Homan Ave.
(41.8775358858, -87.6970630483)"
East Garfield Park,27,Multifamily,Homan Square Apartments Phase IV ,908 S. Central Park Ave.,60624,773-722-7320,Realty & Mortgage Co.,108,1153790.484760921,1896268.990949446,41.8711971734,-87.7108484249,"908 S. Central Park Ave.
(41.8711971734, -87.7108484249)"
East Garfield Park,27,Multifamily,Homan Square Apartments Phase V,3607 W. Polk St.,60624,773-722-7320,Realty & Mortgage Co.,42,,,,,
East Garfield Park,27,Multifamily,Homan Square Apartments Phase VI ,3609 W. Arthington St.,60624,773-722-7320,Realty & Mortgage Co.,52,,,,,
East Garfield Park,27,Supportive Housing,Deborah's Place III,2822 W. Jackson Blvd.,60612,773-638-6490,Deborah's Place ,90,,,,,
East Garfield Park,27,Supportive Housing,East Park Apartments,3300 W. Maypole Ave.,60624,773-826-3300,The Habitat Co.,152,1152413.6927732248,1896087.1805657751,41.8707255523,-87.7159079717,"3300 W. Maypole Ave.
(41.8707255523, -87.7159079717)"
East Garfield Park,27,Multifamily,Liberty Square Apartments,705-23 S. Independence Ave.,60624,773-538-3800,Bonheur Realty Services Corp.,66,1154287.3392122313,1900828.1298343563,41.8836980221,-87.7089025002,"705-23 S. Independence Ave.
(41.8836980221, -87.7089025002)"
Edgewater,77,Multifamily,Winthrop Apartments,6214 N. Winthrop Ave.,60660,773-477-7070 ext. 16,Hunter Properties,108,1151407.4614220564,1896705.2397940052,41.8724413776,-87.7195859945,"6214 N. Winthrop Ave.
(41.8724413776, -87.7195859945)"
Edgewater,77,Senior,Hollywood House Apartments,5700 N. Sheridan Road,60660,773-728-2600,Heartland Housing,93,1152020.6976382213,1896079.3240627667,41.870711741,-87.7173510087,"5700 N. Sheridan Road
(41.870711741, -87.7173510087)"
Edgewater,77,Senior,Pomeroy Apartments,5650 N. Kenmore Ave.,60660,773-275-7820,Habitat Company,198,1167688.7086010627,1941496.3681431552,41.9950154576,-87.6585160357,"5650 N. Kenmore Ave.
(41.9950154576, -87.6585160357)"
Edgewater,77,Multifamily,Bell Shore Apartments,1062 W. Bryn Mawr Ave.,60660,773-334-5407,Holsten Management Corp.,105,1168565.9159576842,1938087.0102101795,41.9856410954,-87.6553885441,"1062 W. Bryn Mawr Ave.
(41.9856410954, -87.6553885441)"
Englewood,68,Senior,Yale Building,6565 S. Yale Ave.,60621,773-224-7669,Yale Building LLP,140,1168181.1238168452,1937918.400495236,41.9851867755,-87.656808677,"6565 S. Yale Ave.
(41.9851867755, -87.656808677)"
Englewood,68,Multifamily,Antioch Homes II,301 W. Marquette Road,60621,773-994-4546,"Universal Management Service, Inc.",69,1167941.8132828113,1937401.2566281443,41.9837729037,-87.6577038394,"301 W. Marquette Road
(41.9837729037, -87.6577038394)"
Englewood,68,People with Disabilities,Victoria Jennings Residences,624 W. 61st St.,60621,773-994-3690,"HSR Property Services, LLC",57,1175681.0917438765,1861260.6910332246,41.7746676247,-87.6315301982,"624 W. 61st St.
(41.7746676247, -87.6315301982)"
Englewood,68,Supportive Housing,Rowan Trees Apartments,500 W. Englewood Ave.,60621,773-572-5272,The Thresholds,167,1175444.812850503,1860492.0838049254,41.7725637689,-87.6324193182,"500 W. Englewood Ave.
(41.7725637689, -87.6324193182)"
Englewood,68,Supportive Housing,Englewood Apartments,901 W. 63rd Street,60621,773-994-3199,Mercy Housing,45,1176891.268251813,1858664.4336695173,41.7675160252,-87.6271720535,"901 W. 63rd Street
(41.7675160252, -87.6271720535)"
Englewood,68,Supportive Housing,Branch of Hope Apartments,5628-30 S. Halsted Ave.,60621,773-488-7205,Evergreen Real Estate LLC,99,1174002.159513655,1863521.643252472,41.7809093636,-87.637617817,"5628-30 S. Halsted Ave.
(41.7809093636, -87.637617817)"
Englewood,68,Supportive/Veterans,Hope Manor II Apartments,60th/Halsted,60621,773-874-3610,Voluinteers of America Illinois,73,1171373.6614958383,1863023.3677886287,41.7795999913,-87.6472689598,"60th/Halsted
(41.7795999913, -87.6472689598)"
Fuller Park,37,Senior,Fellowship Manor,5041 S. Princeton Ave.,60609,773-924-5980,"East Lake Management Group, Inc.",100,,,,,
Gage Park,63,Senior,Senior Suites of Gage Park,3244 W. 59th St.,60629,773-434-4333,Senior Lifestyle Corp.,59,1171893.838747747,1867410.6620249962,41.7916278176,-87.6452332087,"3244 W. 59th St.
(41.7916278176, -87.6452332087)"
Garfield Ridge,56,Senior,Senior Suites of Garfield Ridge,5839 S. Harlem Ave.,60638,773-229-1533,Senior Lifestyle Corp.,87,1175183.4790044015,1871367.582271373,41.8024131184,-87.6330525826,"5839 S. Harlem Ave.
(41.8024131184, -87.6330525826)"
Grand Boulevard,38,Multifamily,Indiana Manor Town Homes,44th/Indiana,60653,773-268-5326,Indiana Manor Townhomes,87,1155572.425115435,1865354.4067786196,41.786328045,-87.705136175,"44th/Indiana
(41.786328045, -87.705136175)"
Grand Boulevard,38,Multifamily,Hearts United Phase I - The Langston,41st St. - 44th St. ,60653,773-538-3800,Bonheur Realty Services Corp.,65,1129403.7448869708,1864822.9118978602,41.7853541249,-87.8010979955,"41st St. - 44th St.
(41.7853541249, -87.8010979955)"
Grand Boulevard,38,Multifamily,Hearts United Phase II - The Quincy,E. Evans - W. Vincennes,60653,773-538-3800,Bonheur Realty Services Corp.,116,,,,,
Grand Boulevard,38,Multifamily,Progressive Square,4752 S. Wabash Ave.,60614,773-975-7234,CMHDC/Progressive NFP/Kass Management,107,,,,,
Grand Boulevard,38,Senior,Park Boulevard Tower/Grand Renaissance Apts.,4257 S. King Dr.,60653,773-268-4642,"East Lake Management Group, Inc.",24,,,,,
Grand Boulevard,38,Multifamily,Geneva Gables,4420-24 S. Michigan Ave.,60653,773-924-7700,Tri-Mart Management Co. ,65,1177483.2463556484,1873312.722072644,41.8076990345,-87.6245595889,"4420-24 S. Michigan Ave.
(41.8076990345, -87.6245595889)"
Grand Boulevard,38,Multifamily,Paul G. Stewart Phase V,400 E. 41st St.,60653,773-924-2100,Paul G. Stewart Assoc.,20,1179612.435611574,1876628.6050863636,41.8167496439,-87.6166489475,"400 E. 41st St.
(41.8167496439, -87.6166489475)"
Grand Boulevard,38,Supportive Housing,Washington Park SRO,5000 S. Indiana Ave.,60615,773-924-1107,"East Lake Management Group, Inc.",96,1177858.6856956813,1875634.1971797955,41.8140608614,-87.6231122243,"5000 S. Indiana Ave.
(41.8140608614, -87.6231122243)"
Grand Boulevard,38,Senior HUD 202,Margaret Ford Manor Independent Living,4500 S. Wabash Ave.,60653,773-924-9171,"HSR Property Services, LLC",63,1179638.2483418202,1877940.683099849,41.8203495003,-87.6165141095,"4500 S. Wabash Ave.
(41.8203495003, -87.6165141095)"
Grand Boulevard,38,Senior,Cornerstone/Evans Langley,4907 S. St. Lawrence Ave.,60615,773-548-9211,"Metroplex, Inc.",60,1178406.436772831,1871882.895572396,41.8037545212,-87.6212170565,"4907 S. St. Lawrence Ave.
(41.8037545212, -87.6212170565)"
Grand Boulevard,38,Multifamily,Legends South - Hansberry Square,4034 S. State St.,60609,773-548-8800,Interstate Realty Management Co.,45,1177427.156074382,1875236.6231905173,41.8129796596,-87.6247071273,"4034 S. State St.
(41.8129796596, -87.6247071273)"
Grand Boulevard,38,Multifamily,Legends South - Mahalia Place,116 E. 43rd St.,60653,773-285-9500,Interstate Realty Management Co.,181,1181127.0103401996,1872564.798405132,41.805563433,-87.6112184342,"116 E. 43rd St.
(41.805563433, -87.6112184342)"
Grand Boulevard,38,Multifamily,Legends South - Coleman Place,223 E. 41st St.,60653,773-268-0202,Interstate Realty Management Co.,110,1176907.6358102283,1878122.6231740906,41.8209108342,-87.6265256539,"223 E. 41st St.
(41.8209108342, -87.6265256539)"
Grand Boulevard,38,Multifamily,Legends South - Savoy Square,4448 S. State St.,60609,773-624-7676,Interstate Realty Management Co.,118,1178081.8752660828,1876584.156148254,41.816662565,-87.6222647175,"4448 S. State St.
(41.816662565, -87.6222647175)"
Grand Boulevard,38,Multifamily,Bronzeville Family Apartments,400 E. 41st St.,60653,773-924-2100,Peoples Co-Op Management Service,60,1176982.246436822,1875311.406647018,41.8131949278,-87.6263367998,"400 E. 41st St.
(41.8131949278, -87.6263367998)"
Grand Boulevard,38,Artist Live/Work Space,Bronzeville Artists Lofts,436 E. 47th St.,60653,773-324-1745,Revere Properties,16,,,,,
Grand Boulevard,38,Senior,Bronzeville Senior Apartments,460 E. 41st St.,60653,773-924-2100,Peoples Co-Op Management Service,97,,,,,
Greater Grand Crossing,69,Multifamily,Englewood Gardens,6956 S. Vincennes Ave.,60621,773-994-4830,"East Lake Management Group, Inc.",24,,,,,
Greater Grand Crossing,69,Artist Housing,Dorchester Art + Housing Collaborative,1450 E. 70th St.,60619,773-324-2270,Leasing & Management Co. Inc.,32,,,,,
Hegewisch,55,Senior,Senior Suites of Hegewisch,13550 S. Avenue O,60633,773-646-1333 ext. 1,Senior Lifestyle Corp.,116,1173046.574629759,1864479.4697238435,41.7835589092,-87.6410928975,"13550 S. Avenue O
(41.7835589092, -87.6410928975)"
Humboldt Park,23,Supportive Housing,Sanctuary Place,642 N. Kedzie Ave.,60612,773-265-0983,Interfaith Housing Corp.,84,1181578.0672018046,1876691.9354204505,41.8168782136,-87.6094366505,"642 N. Kedzie Ave.
(41.8168782136, -87.6094366505)"
Humboldt Park,23,Supportive Housing,Humboldt Park Residences ,1152 N. Christiana Ave.,60647,773-276-5338 ext. 225,LUCHA,69,1201038.0588749289,1815487.7333030126,41.6484574114,-87.540123166,"1152 N. Christiana Ave.
(41.6484574114, -87.540123166)"
Humboldt Park,23,Multifamily,Bloomingdale Apartments,1745 N. Keystone Ave.,60639,773-276-2965,Village Green Management Co.,48,1154880.6034761437,1904286.6392746218,41.8931766425,-87.7066312185,"1745 N. Keystone Ave.
(41.8931766425, -87.7066312185)"
Humboldt Park,23,Multifamily,Spaulding Apartments,1750 N. Spaulding Ave.,60647,773-381-7400,G&A Management,111,1153731.4411072168,1907707.148117049,41.9025857989,-87.7107605283,"1750 N. Spaulding Ave.
(41.9025857989, -87.7107605283)"
Humboldt Park,23,Supportive/Males 18-24yrs.,Solid Ground Supportive Housing Program ,3507 W. North Ave.,60647,773-276-4900,"La Casa Norte, Inc.",35,1149146.6362585528,1911465.9388707278,41.9129903623,-87.7275039055,"3507 W. North Ave.
(41.9129903623, -87.7275039055)"
Humboldt Park,23,Multifamily,Madres Unidas scattered,3541 W. North Ave.,60647,773-276-5338 ext. 225,LUCHA,80,1154314.3195338387,1907834.5260998942,41.902923708,-87.7086160992,"3541 W. North Ave.
(41.902923708, -87.7086160992)"
Humboldt Park,23,Senior,LUCHA Affordable Units,3541 W. North Ave.,60647,312-276-5338,LUCHA,69,1152271.5245463105,1903132.1533014546,41.8899923467,-87.7036867659,"3541 W. North Ave.
(41.8899923467, -87.7036867659)"
Humboldt Park,23,Multifamily,La Estancia,3220 W. Division St.,60651,773-227-6332,Bickerdike Apartments,18,1153823.719226805,1911621.6283910712,41.9133256466,-87.7103171384,"3220 W. Division St.
(41.9133256466, -87.7103171384)"
Humboldt Park,23,Multifamily,La Estancia,3248 W. Division St.,60651,773-227-6332,Bickerdike Apartments,9,1152641.1153722291,1910367.063442813,41.9099064976,-87.7146950394,"3248 W. Division St.
(41.9099064976, -87.7146950394)"
Humboldt Park,23,Multifamily,Rosa Parks Apartments,3215 W. Huron St.,60624,773-227-6332,Bickerdike Apartments,6,,1910359.2407422592,41.9098923382,-87.7160529794,"3215 W. Huron St.
(41.9098923382, -87.7160529794)"
Humboldt Park,23,Multifamily,Rosa Parks Apartments,649 N. Sawyer Ave.,60624,773-227-6332,Bickerdike Apartments,6,,,,,
Humboldt Park,23,Multifamily,Rosa Parks Apartments,601 N. Drake Ave,60624,773-227-6332,Bickerdike Apartments,6,,,,,
Humboldt Park,23,Multifamily,Rosa Parks Apartments,521 N. St. Louis Ave.,60624,773-227-6332,Bickerdike Apartments,6,,,,,
Humboldt Park,23,Multifamily,Rosa Parks Apartments,526 N. St. Louis Ave.,60624,773-227-6332,Bickerdike Apartments,12,,,,,
Humboldt Park,23,Multifamily,Rosa Parks Apartments,532 N. Trumbull Ave.,60624,773-227-6332,Bickerdike Apartments,15,,,,,
Humboldt Park,23,Multifamily,Rosa Parks Apartments,541 N. Homan Ave.,60624,773-227-6332,Bickerdike Apartments,27,,,,,
Humboldt Park,23,Multifamily,Rosa Parks Apartments,3341 W. Ohio St.,60624,773-227-6332,Bickerdike Apartments,16,,,,,
Humboldt Park,23,Supportive/Veterans,Hope Manor Apartments,3053 W. Franklin Blvd.,60612,773-475-6703,Volunteers of America Illinois,50,1154584.6629430514,1907840.061069645,41.9029334898,-87.7076229238,"3053 W. Franklin Blvd.
(41.9029334898, -87.7076229238)"
Hyde Park,41,Multifamily,Hyde Park Apartments,5330 S. Harper Ave.,60615,773-955-2610,"DRE, Inc.",36,,,,,
Jefferson Park,11,Senior,Senior Suites of Jefferson Park,5400 N. Northwest Hwy.,60630,773-775-7333,Senior Lifestyle Corp.,73,1152271.5245463105,,,,
Kenwood,39,Multifamily,Jazz on the Boulevard (scattered sites) .,4657 S. Drexel Blvd,60653,312-660-1300,Heartland Housing,81,1187148.2339917526,1910359.2407422592,41.9098923382,-87.7160529794,"4657 S. Drexel Blvd
(41.9098923382, -87.7160529794)"
Kenwood,39,Multifamily,Drexel Preservation,837 E. 47th St.,60653,773-624-4901,MLG Management,39,1136226.971295093,1870068.2507340526,41.7985717841,-87.5892145402,"837 E. 47th St.
(41.7985717841, -87.5892145402)"
Lakeview ,6,Senior,Renaissance St. Luke Greenview Place,1501 W. Melrose St.,60657,773-525-1501,"RRG Development, Inc.",155,1183149.4551670926,1935211.1854214636,41.9783903918,-87.7743995653,"1501 W. Melrose St.
(41.9783903918, -87.7743995653)"
Lakeview ,6,Supportive,Buffet Place,3208 N. Shefield Ave.,60657,312-572-5272,Thresholds,51,1182801.3254214067,1874094.4100914083,41.8097139386,-87.6037533683,"3208 N. Shefield Ave.
(41.8097139386, -87.6037533683)"
Lakeview ,6,Senior LGBTQ,Town Hall Apartments,3600 N. Halsted St.,60613,773-472-6463,Heartland Houing Inc.,79,,1873991.9476500086,41.8094408765,-87.6050334227,"3600 N. Halsted St.
(41.8094408765, -87.6050334227)"
Logan Square,22,Multifamily,Rev. Daniel Alvarez Apts.,2451-57 N. Sacramento Ave.,60612,773-772-4063,Hispanic Housing Dev. Corp.,96,,,,,
Logan Square,22,Senior,Renaissance West,2517 W. Fullerton Ave.,60647,773-862-2500,Renaissance Realty Group Inc.,41,1165704.8480373912,,,,
Logan Square,22,Multifamily,Zapata Apartments,3230 W. Armitage Ave,60647,773-227-6332,Bickerdike Apartments,100,1155995.815179278,1921625.293870648,41.9405311557,-87.6663826053,"3230 W. Armitage Ave
(41.9405311557, -87.6663826053)"
Logan Square,22,Multifamily,Zapata Apartments,3503 W. Armitage Ave,60647,773-227-6332,Bickerdike Apartments,12,1159142.5632841722,1916357.8444731145,41.926278629,-87.7022092387,"3503 W. Armitage Ave
(41.926278629, -87.7022092387)"
Logan Square,22,Multifamily,Zapata Apartments,1955 N. St. Louis Ave.,60647,773-227-6332,Bickerdike Apartments,3,1154370.984515238,1915828.5607318971,41.9247620985,-87.6906609777,"1955 N. St. Louis Ave.
(41.9247620985, -87.6906609777)"
Logan Square,22,Multifamily,Zapata Apartments,3734 W. Cortland St.,60647,773-227-6332,Bickerdike Apartments,30,1152897.6344778591,1913144.8796982756,41.9174946519,-87.7082658078,"3734 W. Cortland St.
(41.9174946519, -87.7082658078)"
Loop,32,Multifamily,Randolph Tower City Apartments (studios only),188 W. Randolph St.,60601,312-291-8679,Village Green Management Co.,16,1152978.3561575606,1913030.1929008735,41.9172092811,-87.713682006,"188 W. Randolph St.
(41.9172092811, -87.713682006)"
